,,,,
,CITY,,,
1,Hyderabad,10849,,
2,Vishakapatnam,9364,,
3,Surat,4137,,
5,Banglore Urban,2945,,
8,Ernakulam,2705,,
9,Bhopal,8715,,
10,Indore,11454,,
11,jabalpur,5532,,
12,Mumbai,,*Navi Mumbai ,3981
13,Nagpur,2374,,
14,Nashik(Corp),2713,,
15,Pune,4897,,
17,Jaipur,18121,,
18,Chennai,7454,,
19,Coimbatore,5821,,
20,Kolkata,,,
21,Delhi (ND MC),9511,,
22,Patna,21463,,
23,Meerut,12479,,
,,,,
,,,,
,Banglore City,13325,,
